date,ticker,open,high,low,close,label,sessions_num
2021-04-19,GMD,33300.0,33900.0,33000.0,33800.0,0,0
2021-04-20,GMD,33800.0,34200.0,33000.0,33300.0,0,0
2021-04-22,GMD,33000.0,33500.0,32000.0,32000.0,0,0
2021-04-23,GMD,32000.0,33650.0,31700.0,33500.0,0,0
2021-04-26,GMD,34000.0,34000.0,32900.0,33000.0,0,0
2021-04-27,GMD,32800.0,33800.0,32700.0,33350.0,0,0
2021-04-28,GMD,33250.0,33750.0,33250.0,33700.0,0,0
2021-04-29,GMD,33700.0,34200.0,33700.0,34200.0,0,0
2021-05-04,GMD,33400.0,33950.0,33300.0,33900.0,0,0
2021-05-05,GMD,34000.0,35600.0,33900.0,35100.0,0,0
2021-05-06,GMD,35150.0,35200.0,34450.0,34650.0,0,0
2021-05-07,GMD,34650.0,34900.0,34000.0,34100.0,0,0
2021-05-10,GMD,34000.0,35650.0,33700.0,35650.0,0,0
2021-05-11,GMD,36000.0,37750.0,35700.0,36600.0,0,0
2021-05-12,GMD,36250.0,37650.0,36250.0,37650.0,0,0
2021-05-13,GMD,37250.0,37500.0,36400.0,36400.0,0,0
2021-05-14,GMD,37000.0,37000.0,35700.0,35700.0,0,0
2021-05-17,GMD,35950.0,37600.0,35800.0,37500.0,0,0
2021-05-18,GMD,37500.0,38450.0,37300.0,37800.0,0,0
2021-05-19,GMD,37600.0,38000.0,37250.0,37900.0,0,0
2021-05-20,GMD,38000.0,38950.0,38000.0,38800.0,0,0
2021-05-21,GMD,38800.0,39700.0,37500.0,37950.0,0,0
2021-05-24,GMD,38000.0,39000.0,37500.0,38650.0,0,0
2021-05-25,GMD,38750.0,39500.0,38650.0,38950.0,0,0
2021-05-26,GMD,38500.0,38800.0,38000.0,38050.0,0,0
2021-05-27,GMD,38000.0,38300.0,36750.0,36900.0,0,0
2021-05-28,GMD,38000.0,38000.0,36800.0,37700.0,0,0
2021-05-31,GMD,37800.0,37900.0,36800.0,37050.0,0,0
2021-06-01,GMD,37100.0,38000.0,37100.0,37500.0,0,0
2021-06-02,GMD,37500.0,39000.0,37400.0,38950.0,0,0
2021-06-03,GMD,39450.0,40800.0,39300.0,40300.0,0,0
2021-06-04,GMD,40100.0,40300.0,39200.0,40250.0,0,0
2021-06-07,GMD,40950.0,40950.0,38000.0,40000.0,0,0
2021-06-08,GMD,39550.0,40500.0,38500.0,38600.0,0,0
2021-06-09,GMD,38600.0,39500.0,38000.0,39000.0,0,0
2021-06-10,GMD,38800.0,40500.0,38600.0,40200.0,0,0
2021-06-11,GMD,40500.0,41850.0,40500.0,41300.0,0,0
2021-06-14,GMD,42400.0,43500.0,41500.0,42150.0,0,0
2021-06-15,GMD,42150.0,42800.0,41500.0,42150.0,0,0
2021-06-16,GMD,42500.0,43400.0,42150.0,42200.0,0,0
2021-06-17,GMD,41500.0,44350.0,41500.0,44000.0,0,0
2021-06-18,GMD,44000.0,44300.0,43650.0,43900.0,0,0
2021-06-21,GMD,43200.0,44000.0,43000.0,43050.0,0,0
2021-06-22,GMD,43300.0,44300.0,43100.0,43550.0,0,0
2021-06-23,GMD,44000.0,44000.0,42150.0,42850.0,0,0
2021-06-24,GMD,42950.0,43200.0,42400.0,42400.0,0,0
2021-06-25,GMD,42400.0,42950.0,42300.0,42650.0,0,0
2021-06-28,GMD,43200.0,44000.0,42500.0,44000.0,0,0
2021-06-29,GMD,44000.0,44000.0,42900.0,43000.0,0,0
2021-06-30,GMD,43000.0,43500.0,42900.0,43000.0,0,0
2021-07-01,GMD,43500.0,44800.0,42800.0,44700.0,0,0
2021-07-02,GMD,45000.0,45000.0,44500.0,44550.0,0,0
2021-07-05,GMD,45000.0,45500.0,44050.0,44500.0,0,0
2021-07-06,GMD,45100.0,45100.0,41400.0,41400.0,0,0
2021-07-07,GMD,41800.0,42000.0,39500.0,41900.0,0,0
2021-07-08,GMD,42000.0,42850.0,41500.0,41850.0,0,0
2021-07-09,GMD,41400.0,41900.0,39500.0,40000.0,0,0
2021-07-12,GMD,39800.0,39900.0,37500.0,38800.0,0,0
2021-07-13,GMD,39000.0,39900.0,38850.0,39700.0,0,0
2021-07-14,GMD,40000.0,40500.0,38700.0,39200.0,0,0
2021-07-15,GMD,38600.0,40500.0,38600.0,40400.0,0,0
2021-07-16,GMD,41000.0,41400.0,40600.0,41200.0,0,0
2021-07-19,GMD,40050.0,43200.0,39600.0,41700.0,0,0
2021-07-20,GMD,41900.0,42500.0,40700.0,42400.0,0,0
2021-07-21,GMD,42600.0,43200.0,42300.0,43100.0,0,0
2021-07-22,GMD,43100.0,44150.0,42600.0,43600.0,0,0
2021-07-23,GMD,43500.0,43700.0,42500.0,42500.0,0,0
2021-07-26,GMD,42100.0,45250.0,41900.0,44800.0,0,0
2021-07-27,GMD,45050.0,45500.0,44600.0,44800.0,0,0
2021-07-28,GMD,44400.0,44900.0,44050.0,44100.0,0,0
2021-07-29,GMD,44300.0,45600.0,43950.0,45150.0,0,0
2021-07-30,GMD,45200.0,47000.0,45200.0,46100.0,0,0
2021-08-02,GMD,46000.0,48300.0,45800.0,47300.0,0,0
2021-08-03,GMD,47600.0,48500.0,46800.0,47700.0,0,0
2021-08-04,GMD,47950.0,47950.0,46850.0,47050.0,0,0
2021-08-05,GMD,46800.0,48100.0,46500.0,47350.0,0,0
2021-08-06,GMD,47350.0,49250.0,46950.0,48300.0,0,0
2021-08-09,GMD,48300.0,49450.0,48300.0,49100.0,0,0
2021-08-10,GMD,49500.0,51000.0,48800.0,50500.0,0,0
2021-08-11,GMD,50800.0,51600.0,49450.0,49450.0,0,0
2021-08-12,GMD,49200.0,50200.0,48000.0,48300.0,0,0
2021-08-13,GMD,47150.0,49000.0,46000.0,49000.0,0,0
2021-08-16,GMD,50200.0,50200.0,48350.0,48750.0,0,0
2021-08-17,GMD,48700.0,48700.0,47000.0,48200.0,0,0
2021-08-18,GMD,47500.0,48500.0,47500.0,47800.0,0,0
2021-08-19,GMD,47500.0,48000.0,47050.0,47050.0,0,0
2021-08-20,GMD,47500.0,48250.0,46100.0,47350.0,0,0
2021-08-23,GMD,47300.0,48450.0,46800.0,47300.0,0,0
2021-08-24,GMD,47350.0,48200.0,46850.0,46950.0,0,0
2021-08-25,GMD,47100.0,47950.0,46600.0,47900.0,0,0
2021-08-26,GMD,48400.0,51200.0,48200.0,51000.0,0,0
2021-08-27,GMD,51000.0,52000.0,50300.0,51100.0,0,0
2021-08-30,GMD,51500.0,52200.0,51000.0,51800.0,0,0
2021-08-31,GMD,51300.0,52600.0,51300.0,51600.0,0,0
2021-09-01,GMD,51500.0,54200.0,51400.0,53000.0,0,0
2021-09-06,GMD,53200.0,54000.0,52400.0,52700.0,0,0
2021-09-07,GMD,52400.0,52400.0,50800.0,50800.0,0,0
2021-09-08,GMD,50800.0,51900.0,50200.0,50500.0,0,0
2021-09-09,GMD,51000.0,51900.0,50600.0,51400.0,0,0
2021-09-10,GMD,51600.0,51700.0,50800.0,51000.0,0,0
2021-09-13,GMD,51000.0,52500.0,49850.0,52000.0,0,0
2021-09-14,GMD,52200.0,52500.0,51000.0,51400.0,0,0
2021-09-15,GMD,51300.0,52000.0,51000.0,51400.0,0,0
2021-09-16,GMD,51400.0,53000.0,51200.0,52900.0,0,0
2021-09-17,GMD,53400.0,53400.0,52400.0,52600.0,0,0
2021-09-20,GMD,53000.0,53000.0,50800.0,50900.0,0,0
2021-09-21,GMD,50100.0,51200.0,49500.0,49800.0,0,0
2021-09-22,GMD,50100.0,50400.0,49700.0,50200.0,0,0
2021-09-23,GMD,50200.0,50900.0,49800.0,50200.0,0,0
2021-09-24,GMD,50000.0,50200.0,48000.0,49000.0,0,0
2021-09-27,GMD,49000.0,49700.0,47600.0,47600.0,0,0
2021-09-28,GMD,47300.0,49050.0,47000.0,49000.0,0,0
2021-09-29,GMD,48200.0,49000.0,48150.0,48650.0,0,0
2021-09-30,GMD,48750.0,50200.0,48700.0,49600.0,0,0
2021-10-01,GMD,49300.0,49950.0,48500.0,48700.0,0,0
2021-10-04,GMD,48700.0,50300.0,48700.0,49300.0,0,0
2021-10-05,GMD,49000.0,49300.0,48250.0,48250.0,0,0
2021-10-06,GMD,48300.0,48700.0,47700.0,48000.0,0,0
2021-10-07,GMD,48100.0,49850.0,48000.0,49700.0,0,0
2021-10-08,GMD,50000.0,52000.0,50000.0,51200.0,0,0
2021-10-11,GMD,51500.0,51700.0,50500.0,51000.0,0,0
2021-10-12,GMD,51000.0,51000.0,50000.0,50500.0,0,0
2021-10-13,GMD,50700.0,51300.0,50100.0,50500.0,0,0
2021-10-14,GMD,50500.0,52000.0,50300.0,51200.0,0,0
2021-10-15,GMD,51400.0,51700.0,50600.0,50900.0,0,0
2021-10-18,GMD,51000.0,52500.0,50900.0,51500.0,0,0
2021-10-19,GMD,51700.0,52200.0,51200.0,51500.0,0,0
2021-10-20,GMD,51500.0,51700.0,50100.0,50600.0,0,0
2021-10-21,GMD,50600.0,50600.0,49800.0,50100.0,0,0
2021-10-22,GMD,50100.0,50200.0,49300.0,49700.0,0,0
2021-10-25,GMD,49500.0,51300.0,49200.0,50000.0,0,0
2021-10-26,GMD,50000.0,51000.0,49350.0,50400.0,0,0
2021-10-27,GMD,50500.0,51500.0,50500.0,51100.0,0,0
2021-10-28,GMD,51100.0,52700.0,51000.0,52300.0,0,0
2021-10-29,GMD,52600.0,53200.0,51700.0,52300.0,0,0
2021-11-01,GMD,52900.0,52900.0,51300.0,51600.0,0,0
2021-11-02,GMD,51600.0,52300.0,51500.0,52000.0,0,0
2021-11-03,GMD,52000.0,52500.0,50600.0,50600.0,0,0
2021-11-04,GMD,50800.0,51500.0,50200.0,50900.0,0,0
2021-11-05,GMD,51100.0,51400.0,50500.0,51000.0,0,0
2021-11-08,GMD,51000.0,52800.0,51000.0,52200.0,0,0
2021-11-09,GMD,53200.0,54900.0,52800.0,54500.0,0,0
2021-11-10,GMD,54500.0,54900.0,53800.0,54300.0,0,0
2021-11-11,GMD,53700.0,54500.0,53000.0,53500.0,0,0
2021-11-12,GMD,53000.0,53300.0,52000.0,52700.0,0,0
2021-11-15,GMD,52700.0,53800.0,52500.0,52900.0,0,0
2021-11-16,GMD,52900.0,56000.0,51800.0,55100.0,0,0
2021-11-17,GMD,55100.0,55200.0,54100.0,54200.0,0,0
2021-11-18,GMD,54400.0,54400.0,53200.0,53300.0,0,0
2021-11-19,GMD,53000.0,53100.0,49600.0,49700.0,0,0
2021-11-22,GMD,49200.0,49700.0,47500.0,48150.0,0,0
2021-11-23,GMD,48200.0,51000.0,48200.0,51000.0,0,0
2021-11-24,GMD,51200.0,51400.0,50600.0,51300.0,0,0
2021-11-25,GMD,51300.0,51300.0,50500.0,51000.0,0,0
2021-11-26,GMD,51000.0,51000.0,49400.0,49450.0,0,0
2021-11-29,GMD,48500.0,50400.0,48500.0,49900.0,0,0
2021-11-30,GMD,50500.0,51200.0,49700.0,49800.0,0,0
2021-12-01,GMD,49800.0,50000.0,49300.0,49600.0,0,0
2021-12-02,GMD,49600.0,50200.0,49500.0,49850.0,0,0
